job_title,agency,years_experience,annual_salary
HR Specialist,Health Department,24,92783.93
Administrative Officer,Department of Housing,35,96406.69
Inspector,IT Department,16,79767.33
Correctional Officer,Environmental Control Board,23,83416.98
Budget Analyst,Department of Finance,1,73228.4
Data Analyst,Department of Housing,39,125179.57
Administrative Officer,Health Department,14,69596.33
Correctional Officer,Public Works,31,98240.37
Administrative Officer,Department of Housing,38,101130.96
Correctional Officer,Department of Aging,5,65640.88
Community Liaison,Department of Finance,0,50206.54
Budget Analyst,Department of Transportation,22,104711.02
Firefighter,Department of Housing,38,109389.19
Public Health Nurse,Department of Social Services,16,87736.02
Firefighter,Department of Housing,33,104062.9
Legal Counsel,Department of Finance,28,123687.19
Project Manager,Department of Finance,8,99958.8
Project Manager,Fire Department,12,105357.48
Librarian,Public Works,5,58393.06
Project Manager,Baltimore City Courts,5,94998.66
Inspector,Department of Education,19,79763.18
HR Specialist,Department of Housing,2,65031.96
Librarian,Department of Finance,16,71506.22
Project Manager,Police Department,11,99859.44
Librarian,Office of the Mayor,0,57310.5
IT Specialist,Department of Aging,16,91277.31
Data Analyst,Office of the Mayor,2,79429.69
IT Specialist,Department of Aging,25,110331.17
Data Analyst,Department of Finance,14,96322.26
Engineer,Office of the Mayor,35,124252.23
Engineer,Health Department,31,125602.88
Traffic Engineer,Environmental Control Board,31,109018.51
Inspector,Department of Transportation,3,61901.61
Inspector,Environmental Control Board,17,82262.24
Budget Analyst,City Council,18,96720.57
Traffic Engineer,Health Department,34,112588.0
Administrative Officer,Fire Department,39,109735.11
Public Health Nurse,Planning Department,13,82907.53
Police Officer,Department of Aging,32,99463.45
Budget Analyst,IT Department,13,89108.14
Sanitation Worker,Department of Transportation,33,86555.12
Urban Planner,Human Resources,3,77111.84
Financial Analyst,Public Works,23,111386.93
Firefighter,Department of Education,28,91018.11
Correctional Officer,Department of Education,18,74493.6
Financial Analyst,Office of the Mayor,5,86207.73
Legal Counsel,Environmental Control Board,32,136633.71
Sanitation Worker,Human Resources,39,93137.83
HR Specialist,Environmental Control Board,18,91397.47
HR Specialist,Human Resources,0,68603.04
Project Manager,Human Resources,4,95648.84
Librarian,Police Department,26,84219.17
Correctional Officer,Fire Department,15,76846.01
Data Analyst,Planning Department,5,84479.15
Police Officer,Police Department,39,110701.27
IT Specialist,Department of Education,12,93649.44
Correctional Officer,Department of Aging,34,95590.12
Engineer,IT Department,18,99969.87
Community Liaison,City Council,11,66512.21
HR Specialist,Fire Department,15,83471.78
HR Specialist,IT Department,9,75818.63
Financial Analyst,IT Department,24,111995.35
Financial Analyst,Environmental Control Board,19,102314.81
Firefighter,Baltimore City Courts,30,94996.81
Legal Counsel,Environmental Control Board,3,97748.95
Financial Analyst,Office of the Mayor,22,112504.3
Inspector,Department of Finance,1,57693.78
Social Worker,Department of Recreation,21,72318.8
Engineer,Police Department,36,126635.8
HR Specialist,Department of Finance,7,76828.1
Financial Analyst,IT Department,6,84002.37
Project Manager,Office of the Mayor,13,102059.15
HR Specialist,IT Department,2,68190.64
Legal Counsel,City Council,15,120709.72
Traffic Engineer,Police Department,18,93525.36
Public Health Nurse,Office of the Mayor,17,86209.2
Engineer,Department of Transportation,15,104016.1
Inspector,Environmental Control Board,7,72014.02
HR Specialist,Department of Finance,32,101527.7
Budget Analyst,IT Department,11,80335.82
Administrative Officer,Department of Social Services,10,68301.25
Social Worker,Health Department,4,61644.52
Correctional Officer,City Council,26,94535.97
Social Worker,Baltimore City Courts,11,70170.84
Urban Planner,Department of Housing,16,96684.2
Correctional Officer,City Council,5,63213.56
Legal Counsel,Department of Finance,32,140724.51
Community Liaison,Department of Finance,4,53605.57
Data Analyst,IT Department,27,108564.23
Administrative Officer,Department of Education,13,76028.54
Engineer,Public Works,4,85377.29
Sanitation Worker,Baltimore City Courts,32,80857.77
Legal Counsel,Planning Department,18,116958.67
Traffic Engineer,Environmental Control Board,21,101194.79
HR Specialist,IT Department,4,69116.34
Data Analyst,IT Department,1,82181.79
HR Specialist,Human Resources,29,97075.38
Firefighter,Fire Department,38,107792.5
HR Specialist,Baltimore City Courts,3,67519.68
IT Specialist,Department of Aging,32,115726.34
IT Specialist,Department of Transportation,12,94214.48
Correctional Officer,Environmental Control Board,19,83357.79
Urban Planner,Health Department,6,88561.7
Inspector,Health Department,14,78538.26
Administrative Officer,Department of Social Services,22,73867.49
Sanitation Worker,Human Resources,13,63485.58
Budget Analyst,Human Resources,22,98549.41
Public Health Nurse,Department of Aging,18,94408.63
Community Liaison,Department of Education,28,84154.43
Firefighter,Health Department,19,88559.27
Legal Counsel,Department of Recreation,28,129775.01
Public Health Nurse,IT Department,23,102276.39
Budget Analyst,Fire Department,17,91083.76
Police Officer,Office of the Mayor,9,76233.03
Public Health Nurse,Planning Department,7,80879.92
Public Health Nurse,Fire Department,25,98283.42
Librarian,City Council,28,83229.96
Data Analyst,Department of Education,9,86911.94
Project Manager,Baltimore City Courts,16,106952.35
Sanitation Worker,Environmental Control Board,1,50767.69
Engineer,IT Department,5,85495.58
Inspector,Department of Aging,4,60132.09
IT Specialist,Human Resources,27,117988.24
Budget Analyst,IT Department,4,74624.71
Data Analyst,Department of Social Services,17,99000.04
Public Health Nurse,Department of Aging,25,95532.56
Firefighter,Department of Recreation,19,85082.37
Community Liaison,Department of Social Services,26,79042.98
Project Manager,Environmental Control Board,11,98510.73
Data Analyst,Department of Transportation,6,89210.76
HR Specialist,Department of Housing,2,70947.7
Public Health Nurse,Environmental Control Board,9,80477.94
Correctional Officer,Department of Recreation,33,100598.26
Public Health Nurse,Human Resources,24,104509.88
Inspector,Baltimore City Courts,34,103062.23
Firefighter,Department of Aging,15,81439.04
HR Specialist,Office of the Mayor,1,66796.85
Project Manager,IT Department,23,119548.49
IT Specialist,Department of Social Services,9,89708.24
Inspector,IT Department,37,103570.09
Legal Counsel,Department of Social Services,21,121552.67
Urban Planner,Department of Housing,25,103578.41
Budget Analyst,Department of Recreation,38,116502.6
Public Health Nurse,City Council,26,101200.56
Data Analyst,City Council,28,115051.82
Inspector,Office of the Mayor,37,101002.01
Community Liaison,Department of Aging,19,75077.54
Police Officer,Fire Department,26,98575.39
Community Liaison,Baltimore City Courts,19,75157.44
Correctional Officer,Department of Aging,18,77179.76
Urban Planner,Baltimore City Courts,19,92721.96
HR Specialist,Department of Recreation,34,107479.1
Police Officer,Office of the Mayor,1,66762.62
Financial Analyst,City Council,29,119813.13
Public Health Nurse,Department of Finance,33,107498.39
Budget Analyst,Police Department,21,99480.36
Project Manager,Department of Transportation,2,95563.24
Data Analyst,Department of Housing,5,83714.07
Legal Counsel,Department of Recreation,14,113050.79
Project Manager,Baltimore City Courts,26,122345.9
Engineer,Department of Finance,9,93335.59
Police Officer,Baltimore City Courts,8,76193.29
Public Health Nurse,IT Department,32,113267.5
Traffic Engineer,Department of Education,31,113266.61
Administrative Officer,Planning Department,5,56617.23
Budget Analyst,IT Department,35,111938.32
Administrative Officer,Police Department,1,50861.71
Urban Planner,Department of Recreation,28,112470.78
Firefighter,Department of Finance,3,67892.32
Legal Counsel,Department of Transportation,0,93495.89
IT Specialist,Police Department,18,97345.82
Firefighter,Health Department,25,89500.12
Community Liaison,IT Department,24,76885.17
Police Officer,Department of Transportation,9,76128.22
Budget Analyst,Department of Education,14,89027.28
Sanitation Worker,Fire Department,21,77224.3
Correctional Officer,City Council,20,79921.74
Sanitation Worker,Department of Education,21,68675.44
Project Manager,Department of Social Services,35,128529.06
HR Specialist,Department of Housing,33,104530.93
Public Health Nurse,Fire Department,29,102613.97
Engineer,Human Resources,24,112923.97
Correctional Officer,Planning Department,27,89037.9
Budget Analyst,Office of the Mayor,0,74970.72
Urban Planner,Human Resources,3,76839.1
Traffic Engineer,Health Department,6,82067.97
Financial Analyst,Department of Education,8,93751.85
Project Manager,Department of Recreation,35,130305.05
Sanitation Worker,Environmental Control Board,18,70869.64
Firefighter,Department of Social Services,0,62994.46
Urban Planner,Department of Social Services,9,86225.3
Engineer,Fire Department,35,123596.81
Engineer,City Council,8,98289.32
Police Officer,Planning Department,31,108862.05
IT Specialist,Public Works,31,117226.48
IT Specialist,Department of Finance,5,82860.94
Project Manager,Health Department,37,134487.31
Sanitation Worker,Baltimore City Courts,16,70169.58
Budget Analyst,Health Department,9,80954.44
Financial Analyst,Department of Education,26,112813.3
Engineer,Department of Transportation,34,126821.96
Budget Analyst,Department of Finance,20,99609.14
Budget Analyst,Public Works,24,103126.27
Inspector,IT Department,27,94850.6
Financial Analyst,Department of Housing,14,97521.19
Data Analyst,Department of Education,3,82805.76
Legal Counsel,Public Works,28,126434.11
Administrative Officer,Department of Social Services,8,67136.58
Traffic Engineer,Health Department,26,110653.66
IT Specialist,Office of the Mayor,25,111660.09
IT Specialist,Environmental Control Board,18,100497.77
Social Worker,Department of Housing,27,86788.82
IT Specialist,Health Department,16,104619.55
Financial Analyst,Department of Social Services,19,103747.87
Inspector,Department of Transportation,39,109949.98
Public Health Nurse,Department of Finance,38,116616.67
Police Officer,Planning Department,22,90397.59
HR Specialist,Health Department,31,98166.05
Police Officer,Fire Department,32,104034.8
Correctional Officer,Department of Aging,4,63073.3
Police Officer,Environmental Control Board,33,110019.6
HR Specialist,Department of Social Services,39,109219.42
Firefighter,Office of the Mayor,10,80884.31
Financial Analyst,Department of Recreation,2,85536.43
IT Specialist,Public Works,32,119533.49
IT Specialist,Health Department,10,90220.78
Inspector,Planning Department,15,78944.12
Social Worker,Office of the Mayor,17,76819.15
Inspector,Health Department,29,97611.98
Public Health Nurse,Environmental Control Board,9,77865.03
Public Health Nurse,Police Department,17,94620.34
Engineer,Department of Aging,37,130484.25
Social Worker,Environmental Control Board,18,78424.69
Inspector,Baltimore City Courts,35,101337.17
IT Specialist,City Council,12,91615.57
Administrative Officer,Office of the Mayor,2,57618.17
Community Liaison,Police Department,9,61361.89
HR Specialist,Environmental Control Board,37,105243.72
HR Specialist,Public Works,0,67379.86
Police Officer,Health Department,26,99189.57
Community Liaison,Planning Department,7,56211.01
Social Worker,Baltimore City Courts,16,71132.24
Data Analyst,Baltimore City Courts,8,86691.12
Public Health Nurse,Public Works,5,76071.69
Police Officer,Baltimore City Courts,24,93007.49
Budget Analyst,Department of Social Services,38,117417.25
Police Officer,City Council,27,98064.43
Data Analyst,Department of Housing,32,112295.19
Firefighter,Human Resources,36,101440.11
Administrative Officer,Planning Department,8,56433.17
Budget Analyst,Department of Finance,17,95227.64
Administrative Officer,Department of Education,20,79045.68
Police Officer,Department of Aging,1,69343.55
Public Health Nurse,Department of Transportation,37,110986.79
Legal Counsel,Office of the Mayor,39,141873.22
HR Specialist,City Council,35,107644.48
Data Analyst,Environmental Control Board,36,119514.65
Legal Counsel,Office of the Mayor,14,107139.72
Community Liaison,Public Works,27,87637.61
HR Specialist,Environmental Control Board,17,89597.85
IT Specialist,Office of the Mayor,33,118454.2
Budget Analyst,Department of Education,21,98730.68
HR Specialist,Department of Transportation,10,75545.63
Data Analyst,Department of Social Services,12,89413.79
Urban Planner,Department of Finance,3,84081.78
Legal Counsel,Department of Finance,21,115233.89
Firefighter,Environmental Control Board,6,68343.49
Inspector,Department of Education,23,87852.97
Inspector,Department of Finance,3,68553.71
Data Analyst,Health Department,27,113089.77
Data Analyst,Public Works,14,89783.25
Project Manager,Health Department,0,89991.75
Budget Analyst,Department of Housing,2,74463.18
Community Liaison,Department of Housing,13,64914.98
Project Manager,Department of Aging,37,136259.43
Administrative Officer,Department of Transportation,0,50772.68
IT Specialist,Police Department,37,123174.09
Public Health Nurse,Health Department,37,115836.46
Public Health Nurse,Public Works,20,96038.73
IT Specialist,Human Resources,28,114048.26
HR Specialist,Department of Social Services,4,68934.82
Financial Analyst,Department of Recreation,9,92440.18
Project Manager,Health Department,27,124621.22
Urban Planner,Department of Recreation,20,99101.7
Legal Counsel,Department of Education,6,99074.46
IT Specialist,Department of Housing,2,78699.51
Traffic Engineer,Department of Transportation,19,94331.09
Police Officer,Department of Social Services,18,90966.74
HR Specialist,Department of Education,34,108222.39
IT Specialist,Planning Department,3,83280.54
Project Manager,Planning Department,4,93438.62
Urban Planner,Department of Education,0,73278.21
Urban Planner,Office of the Mayor,3,81879.71
Data Analyst,Public Works,11,96913.3
Librarian,Department of Recreation,26,81383.82
Data Analyst,Human Resources,22,107815.25
Budget Analyst,Office of the Mayor,24,100884.04
Budget Analyst,Health Department,20,95362.71
IT Specialist,City Council,23,112112.64
Administrative Officer,Department of Aging,24,83769.5
Correctional Officer,City Council,31,96089.09
Sanitation Worker,Health Department,31,85944.82
Inspector,Department of Aging,4,59923.2
Financial Analyst,Police Department,35,124865.23
IT Specialist,Department of Housing,38,123911.92
Sanitation Worker,Public Works,15,61736.54
Project Manager,Baltimore City Courts,32,126848.59
Police Officer,Department of Aging,20,87423.83
Financial Analyst,City Council,8,94689.65
Budget Analyst,Baltimore City Courts,5,74808.63
Financial Analyst,Planning Department,34,120430.46
Data Analyst,Department of Housing,38,124306.16
Police Officer,Department of Education,21,86222.62
Inspector,Department of Recreation,4,62822.98
IT Specialist,Department of Social Services,22,101406.57
HR Specialist,Department of Finance,16,86960.03
HR Specialist,Department of Aging,11,77295.91
Sanitation Worker,Department of Finance,22,74352.25
Sanitation Worker,Department of Transportation,15,68748.03
Administrative Officer,Department of Finance,2,55233.19
Community Liaison,Environmental Control Board,29,83864.04
Sanitation Worker,Department of Recreation,21,70031.02
Engineer,Human Resources,8,91424.49
Community Liaison,Police Department,28,80838.25
Project Manager,Department of Aging,36,131722.53
Public Health Nurse,Health Department,22,95245.61
Firefighter,Department of Education,12,77265.9
Social Worker,Department of Housing,31,89526.35
Traffic Engineer,Police Department,22,103358.9
Firefighter,Environmental Control Board,16,82655.0
Correctional Officer,Fire Department,39,103396.53
Project Manager,City Council,20,111585.83
Urban Planner,Human Resources,1,76455.24
Inspector,Department of Housing,36,102591.25
Social Worker,Environmental Control Board,5,61661.06
Community Liaison,Environmental Control Board,17,75109.6
Public Health Nurse,Fire Department,29,105005.91
Police Officer,Public Works,21,88282.31
Correctional Officer,Department of Social Services,32,93727.33
Project Manager,Public Works,29,122243.4
Traffic Engineer,Fire Department,16,90811.7
Correctional Officer,Police Department,31,97998.23
Social Worker,Department of Education,13,63900.16
Correctional Officer,Department of Finance,9,70264.31
Community Liaison,Fire Department,35,89395.81
Sanitation Worker,Planning Department,33,86062.78
Correctional Officer,Fire Department,8,64906.04
Community Liaison,Department of Education,27,86737.59
IT Specialist,Fire Department,10,92048.95
Correctional Officer,Planning Department,13,75971.14
Social Worker,Planning Department,38,104501.58
Police Officer,Department of Housing,18,87090.22
Legal Counsel,Department of Recreation,14,108213.13
Inspector,Baltimore City Courts,27,91738.07
Inspector,IT Department,23,85373.26
Correctional Officer,Public Works,7,64889.49
Legal Counsel,Department of Education,8,104316.13
Librarian,Department of Transportation,32,89997.53
IT Specialist,Environmental Control Board,32,119636.33
Inspector,Department of Housing,18,83271.91
Traffic Engineer,Health Department,2,77997.56
Police Officer,Department of Social Services,9,77010.41
Financial Analyst,Baltimore City Courts,39,127151.92
Inspector,IT Department,0,63944.34
HR Specialist,Baltimore City Courts,28,96903.47
Traffic Engineer,Department of Social Services,33,119191.56
Firefighter,Human Resources,12,71971.8
Correctional Officer,IT Department,0,56858.78
Traffic Engineer,Environmental Control Board,33,114607.07
Public Health Nurse,Fire Department,28,104436.98
Inspector,Department of Transportation,12,76985.45
Data Analyst,IT Department,28,107851.81
Police Officer,Department of Recreation,38,107276.05
IT Specialist,Police Department,23,103394.28
Social Worker,Department of Education,25,88960.55
Engineer,Department of Transportation,16,105092.81
Administrative Officer,Public Works,6,58946.89
Administrative Officer,Department of Housing,12,68070.72
Inspector,Department of Aging,4,68345.28
Financial Analyst,City Council,25,111165.64
Firefighter,Department of Finance,2,63388.44
Police Officer,City Council,6,69856.11
Traffic Engineer,Department of Recreation,38,118525.02
Social Worker,Department of Education,0,58549.97
IT Specialist,IT Department,16,104221.7
Police Officer,Human Resources,24,90844.42
Engineer,Health Department,2,91614.83
IT Specialist,Department of Finance,14,95337.83
HR Specialist,IT Department,28,100200.94
Budget Analyst,Human Resources,31,113430.64
Engineer,Baltimore City Courts,25,114564.77
Inspector,Baltimore City Courts,15,77016.17
Police Officer,Planning Department,24,96203.24
HR Specialist,Department of Social Services,27,94070.14
IT Specialist,IT Department,8,93041.18
Firefighter,Department of Aging,0,62428.43
Engineer,Department of Education,28,116866.75
Financial Analyst,Public Works,21,105387.5
Financial Analyst,Department of Recreation,15,95849.61
Project Manager,Fire Department,6,95591.48
Librarian,Department of Housing,13,66807.89
Data Analyst,Planning Department,28,108416.12
Community Liaison,Department of Transportation,18,71463.61
Budget Analyst,Office of the Mayor,18,95018.75
Financial Analyst,Department of Transportation,1,82559.58
Librarian,Department of Aging,14,70788.18
Traffic Engineer,City Council,2,75978.58
Social Worker,IT Department,10,70010.15
Administrative Officer,Public Works,29,90165.44
Social Worker,Police Department,39,106435.77
Police Officer,Police Department,17,92642.65
Inspector,IT Department,1,59789.27
Librarian,Department of Finance,31,87912.81
Inspector,Planning Department,7,67661.27
Data Analyst,City Council,21,104987.11
Traffic Engineer,Department of Finance,5,85977.91
Firefighter,Health Department,11,73241.57
Police Officer,Public Works,39,112943.73
HR Specialist,Department of Social Services,35,106592.22
Budget Analyst,Human Resources,14,90654.33
Community Liaison,Department of Recreation,27,86928.37
Project Manager,City Council,17,109679.02
Administrative Officer,Department of Social Services,1,51190.4
Firefighter,Planning Department,12,78631.71
Engineer,Police Department,14,99301.88
Urban Planner,Office of the Mayor,19,97370.65
Community Liaison,Office of the Mayor,28,85961.09
Budget Analyst,Fire Department,28,106492.18
Budget Analyst,Health Department,2,74094.84
Public Health Nurse,Public Works,18,89872.35
Sanitation Worker,Department of Finance,2,41700.32
Firefighter,Department of Transportation,13,79694.96
Urban Planner,Police Department,39,121041.14
Engineer,Health Department,3,93140.01
Community Liaison,Fire Department,10,63194.08
Urban Planner,Department of Finance,30,109376.62
Correctional Officer,Department of Transportation,31,98400.61
Administrative Officer,Human Resources,26,89653.39
Financial Analyst,Public Works,29,116142.9
Correctional Officer,Department of Aging,1,62780.93
Traffic Engineer,Public Works,8,83934.08
Inspector,Department of Recreation,27,92878.94
Correctional Officer,City Council,30,95714.23
Financial Analyst,Fire Department,33,123954.34
Sanitation Worker,Baltimore City Courts,14,66664.57
IT Specialist,Department of Recreation,24,107802.03
Firefighter,Department of Recreation,35,107281.09
Legal Counsel,Human Resources,7,103026.72
Social Worker,Fire Department,8,62892.92
Sanitation Worker,Department of Transportation,36,89536.99
Project Manager,Department of Recreation,38,141419.97
Financial Analyst,Planning Department,31,116974.05
Data Analyst,Police Department,16,101074.91
Legal Counsel,Department of Transportation,34,132393.6
Firefighter,Fire Department,36,106663.72
Budget Analyst,Human Resources,18,94491.25
Project Manager,Baltimore City Courts,28,128463.68
Public Health Nurse,Department of Aging,6,75236.79
Traffic Engineer,City Council,27,105608.01
Administrative Officer,Planning Department,8,64250.47
Data Analyst,Environmental Control Board,27,115394.41
Sanitation Worker,Department of Finance,5,51347.52
Public Health Nurse,Department of Recreation,28,95834.75
Firefighter,City Council,16,81379.3
Correctional Officer,Baltimore City Courts,15,78848.57
Budget Analyst,Department of Transportation,22,95358.58
Public Health Nurse,Police Department,30,108543.8
Urban Planner,Planning Department,2,74292.27
Administrative Officer,Fire Department,20,78560.32
Public Health Nurse,Fire Department,25,102258.05
IT Specialist,Department of Transportation,35,118437.6
Firefighter,IT Department,36,105744.54
Urban Planner,Baltimore City Courts,21,103844.92
Legal Counsel,Department of Housing,11,109621.8
Social Worker,Public Works,12,67238.12
Administrative Officer,Human Resources,10,71556.16
Legal Counsel,Police Department,15,114975.18
Correctional Officer,IT Department,7,60818.66
Financial Analyst,Department of Transportation,39,131392.73
Firefighter,Health Department,39,107085.88
Project Manager,Baltimore City Courts,1,91789.69
Police Officer,Public Works,29,102824.01
Inspector,Baltimore City Courts,29,93151.19
Data Analyst,Department of Transportation,11,86263.22
Inspector,Department of Social Services,9,75316.64
Project Manager,Department of Social Services,10,105493.75
IT Specialist,Health Department,14,96538.23
Project Manager,Department of Recreation,15,110560.26
Data Analyst,Environmental Control Board,16,96091.84
Correctional Officer,Department of Housing,25,88290.91
Social Worker,Human Resources,1,55767.14
IT Specialist,Department of Transportation,11,92213.17
Engineer,Office of the Mayor,25,116077.91
Firefighter,Baltimore City Courts,22,84775.46
HR Specialist,Department of Aging,17,84645.26
Budget Analyst,Police Department,31,110143.44
Police Officer,Public Works,37,114914.3
Data Analyst,Fire Department,2,76897.4
HR Specialist,Department of Social Services,37,110961.66
Community Liaison,Public Works,2,54290.45
Inspector,Department of Social Services,29,89169.84
Engineer,Health Department,0,86231.6
Community Liaison,IT Department,29,87440.86
Project Manager,Department of Transportation,31,128965.96
Correctional Officer,Department of Social Services,27,90148.22
Legal Counsel,Environmental Control Board,20,119999.72
Project Manager,IT Department,12,104909.53
Firefighter,Department of Social Services,26,88131.63
Sanitation Worker,Public Works,35,90579.96
Firefighter,Planning Department,6,68098.79
Sanitation Worker,Department of Social Services,21,71085.53
Sanitation Worker,Department of Transportation,9,66254.91
IT Specialist,Department of Education,38,129357.85
Correctional Officer,Human Resources,14,71349.48
Police Officer,Office of the Mayor,14,82839.91
Project Manager,Department of Housing,3,97974.08
IT Specialist,Department of Social Services,31,112711.4
Administrative Officer,Human Resources,22,81630.95
Social Worker,Baltimore City Courts,5,61372.22
Engineer,Department of Social Services,23,108776.52
Engineer,Public Works,19,108938.65
Traffic Engineer,Health Department,36,122548.74
Budget Analyst,IT Department,19,99324.14
Urban Planner,Environmental Control Board,11,87451.91
Urban Planner,Human Resources,32,120904.94
Inspector,Police Department,27,86226.1
Public Health Nurse,Department of Social Services,7,79468.65
Firefighter,City Council,0,57763.12
Urban Planner,Department of Transportation,36,118470.55
Inspector,Human Resources,21,83634.28
Budget Analyst,Department of Social Services,5,79520.63
Urban Planner,Human Resources,20,98619.36
Correctional Officer,Health Department,31,92722.05
Correctional Officer,Health Department,34,96519.13
Administrative Officer,IT Department,14,77597.38
Correctional Officer,Fire Department,4,64130.57
HR Specialist,Human Resources,5,65893.61
Urban Planner,Department of Social Services,24,105452.36
Librarian,Human Resources,39,98215.97
Inspector,Planning Department,28,93613.8
IT Specialist,Environmental Control Board,6,89659.66
Correctional Officer,Planning Department,39,108349.68
Budget Analyst,Department of Recreation,12,83823.56
Librarian,Department of Transportation,37,96310.78
Public Health Nurse,City Council,17,88761.67
IT Specialist,Department of Social Services,1,82990.59
Traffic Engineer,Department of Aging,7,83703.09
Urban Planner,Department of Finance,10,87087.75
HR Specialist,Planning Department,32,102589.17
Sanitation Worker,Department of Finance,37,92081.64
Legal Counsel,Department of Transportation,26,131313.95
HR Specialist,Department of Recreation,19,94972.3
Administrative Officer,Police Department,11,69331.28
Librarian,Human Resources,30,87700.09
Social Worker,Human Resources,26,81413.09
Correctional Officer,Health Department,31,92918.75
Social Worker,Department of Transportation,9,65419.79
Financial Analyst,Environmental Control Board,2,82254.81
HR Specialist,Fire Department,26,94370.3
Social Worker,Police Department,34,100526.17
Sanitation Worker,IT Department,30,84086.37
Inspector,Office of the Mayor,14,77154.64
Librarian,Baltimore City Courts,15,67977.43
IT Specialist,IT Department,12,97932.63
Traffic Engineer,Department of Recreation,34,116162.26
Traffic Engineer,Department of Recreation,10,86437.41
Community Liaison,Department of Social Services,20,69257.75
Social Worker,Baltimore City Courts,10,66816.69
Engineer,Baltimore City Courts,29,118143.83
Traffic Engineer,Human Resources,34,121853.74
Administrative Officer,IT Department,21,85731.7
Social Worker,Public Works,37,95694.16
Correctional Officer,Health Department,30,90633.54
Financial Analyst,Department of Housing,13,96771.04
Engineer,Health Department,23,110151.89
Urban Planner,Department of Recreation,31,112852.25
Legal Counsel,Office of the Mayor,35,136020.13
Firefighter,Department of Transportation,31,100041.6
Engineer,Department of Recreation,14,104848.28
Budget Analyst,Fire Department,34,109607.34
Project Manager,Fire Department,2,95385.63
IT Specialist,Human Resources,15,95814.04
Urban Planner,Police Department,4,86245.45
Social Worker,IT Department,20,83862.93
HR Specialist,Public Works,9,75460.76
Correctional Officer,Public Works,18,76709.25
Data Analyst,Department of Aging,24,103335.4
Legal Counsel,Environmental Control Board,3,101220.89
Traffic Engineer,Department of Recreation,28,109508.79
Police Officer,Public Works,18,89380.6
Librarian,IT Department,1,59812.69
Legal Counsel,Department of Education,9,103488.85
Administrative Officer,Police Department,24,80109.59
Urban Planner,Office of the Mayor,19,98377.68
Firefighter,Environmental Control Board,18,87034.28
Engineer,Department of Transportation,22,108578.62
Administrative Officer,IT Department,23,82703.87
Firefighter,Department of Social Services,10,78110.13
Legal Counsel,Department of Transportation,33,129701.37
Legal Counsel,Planning Department,27,128105.95
Traffic Engineer,Office of the Mayor,4,79179.69
Engineer,Environmental Control Board,4,90172.47
Social Worker,Office of the Mayor,20,81129.35
Financial Analyst,Public Works,11,95862.43
Community Liaison,Environmental Control Board,3,50569.33
Correctional Officer,Department of Social Services,19,79296.26
Urban Planner,Environmental Control Board,37,123679.78
Librarian,IT Department,24,81786.8
Urban Planner,City Council,13,93120.96
HR Specialist,Police Department,10,77750.89
Administrative Officer,Department of Housing,31,94627.35
Social Worker,Environmental Control Board,10,65811.56
Community Liaison,Department of Education,17,68097.47
Budget Analyst,City Council,26,105491.09
Police Officer,Human Resources,17,88782.12
Correctional Officer,Human Resources,22,81657.16
Engineer,Department of Finance,10,95272.17
Legal Counsel,Environmental Control Board,20,118510.32
Financial Analyst,Human Resources,4,91659.47
Traffic Engineer,Environmental Control Board,22,104089.41
Data Analyst,Department of Housing,24,102827.74
Traffic Engineer,Human Resources,9,86521.05
Budget Analyst,Department of Housing,21,96462.36
Librarian,Office of the Mayor,18,70080.19
Police Officer,City Council,0,64685.62
Financial Analyst,Department of Social Services,6,88329.89
HR Specialist,City Council,3,67515.1
Sanitation Worker,Office of the Mayor,0,46777.86
HR Specialist,Department of Social Services,14,86214.18
Correctional Officer,Office of the Mayor,39,103708.89
Data Analyst,Police Department,11,91349.01
Urban Planner,IT Department,21,100023.71
Budget Analyst,Department of Recreation,21,95684.95
Budget Analyst,Department of Recreation,16,91438.51
Project Manager,IT Department,28,123796.05
Public Health Nurse,IT Department,13,85839.27
Social Worker,Office of the Mayor,19,75222.3
Financial Analyst,Department of Recreation,32,119781.63
Project Manager,Planning Department,14,109080.97
Legal Counsel,Police Department,11,107660.55
Firefighter,Office of the Mayor,39,109285.35
Social Worker,Department of Housing,19,78301.11
Community Liaison,Department of Finance,29,86052.19
Data Analyst,IT Department,37,124075.95
IT Specialist,Department of Social Services,2,81877.55
Community Liaison,Office of the Mayor,27,79665.99
Inspector,Baltimore City Courts,25,86343.85
Legal Counsel,Environmental Control Board,29,132853.06
Financial Analyst,Baltimore City Courts,12,98710.75
Administrative Officer,Department of Aging,12,71348.09
Project Manager,Department of Aging,1,93633.61
Firefighter,Fire Department,36,104715.33
Sanitation Worker,Health Department,37,90525.37
Correctional Officer,Police Department,1,56258.78
Engineer,Health Department,35,123731.95
Public Health Nurse,Department of Aging,25,103636.48
Budget Analyst,Department of Finance,10,82520.57
Budget Analyst,Baltimore City Courts,7,83564.58
HR Specialist,IT Department,39,111239.34
Correctional Officer,Environmental Control Board,21,81171.28
Sanitation Worker,Police Department,19,67516.91
Engineer,Department of Recreation,7,91635.54
Community Liaison,Baltimore City Courts,28,87854.72
Correctional Officer,Human Resources,39,101547.37
Administrative Officer,Department of Housing,25,91350.24
Engineer,Fire Department,29,117278.18
Traffic Engineer,Human Resources,16,97449.85
Traffic Engineer,Department of Education,19,98364.25
Correctional Officer,Fire Department,15,75038.32
Engineer,City Council,6,88385.74
Engineer,Office of the Mayor,15,102704.82
